Total Solutions Generated,7464
Total Iterations,11574

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_44_2,1689438.6300000001,23055426.89605586,92151198.0,214026.51853738725,707060.0
1,20_44_3,1166119.2363888887,15319156.136329511,62657153.0,710338.3483272232,1652073.0
2,20_44_4,883911.1277777778,11653823.507754438,46795295.0,317318.4677630719,662233.0
3,20_1_2,596026.7980555556,23589271.685162067,93291151.0,414793.44513633475,887289.0
4,1_44_2,1227397.7541666667,23212369.06229385,94013445.0,627225.1967960633,1591883.0
5,20_43_3,1146943.2883333333,15896561.576196633,62560543.0,402908.5447833743,1740464.0
6,19_44_3,1169387.67,15762315.310000798,63784782.0,541658.3533266783,1780668.0
7,20_43_2,1678905.3305555556,23270506.58163533,92985526.0,475300.38860568404,1237956.0
8,20_44_6,618655.9166666666,7845243.922714347,31816590.0,189873.21461042855,542412.0
9,20_44_7,521721.56888888887,6571709.56978018,26453488.0,192022.58525159862,200952.0
10,20_1_4,331216.0486111111,12573981.600710796,47695111.0,154667.5299457144,535372.0
11,1_44_4,630522.4994444444,11765750.47441348,46324102.0,211644.88205546327,856308.0
12,20_42_6,601385.6722222222,7833202.579071038,31838065.0,220316.37572565675,796166.0
13,18_44_6,603828.0433333333,8024417.63800028,31967367.0,290386.05828049965,600130.0
14,20_43_4,895375.5119444445,12148606.510107525,48109729.0,482527.77036890574,1106729.0
15,20_44_5,732475.5375,9482071.271275636,38216115.0,340299.8775302451,499381.0
16,20_44_9,425934.4586111111,5177458.850497631,21004987.0,235277.8030750379,451131.0
17,20_44_10,392224.81055555557,4655072.61379322,19081207.0,36171.81620955467,401619.0
18,20_1_7,208840.24777777778,7399364.959202975,26850889.0,266465.0428856751,678437.0
19,1_44_7,396777.68000000005,6896208.095761631,27469224.0,125532.25024635065,687030.0
20,20_42_9,414909.2477777777,5254821.861955603,21037652.0,105064.8082330646,461482.0
21,18_44_9,416762.2688888889,5206679.597765916,21131608.0,132088.07408962213,596655.0
22,20_43_7,517695.5777777778,6646043.159015345,26624344.0,272222.7832218418,456411.0
23,20_44_8,472112.5,5872432.460565869,23605625.0,215140.41784049943,500566.0
24,20_44_13,314033.4633333333,3610960.7419178737,14682084.0,151897.88458468113,385140.0
25,20_44_14,299161.0916666667,3385086.610345097,13807435.0,66803.86533495551,340199.0
26,20_1_10,161028.3375,5389802.463536079,18700065.0,101005.74294937868,409205.0
27,1_44_10,290207.20972222224,4659228.826857834,18995381.0,103283.77138173953,313930.0
28,20_41_13,304280.99055555556,3569623.10179224,14802859.0,130956.41349214874,255276.0
29,17_44_13,298598.0988888889,3554001.065470405,14526394.0,130407.7425998412,383104.0
30,20_43_10,386898.0533333334,4753059.928025925,19079904.0,61879.667108020745,244510.0
31,20_44_11,352776.1041666666,4248372.121357061,16933253.0,161744.5267333975,336141.0
32,20_44_18,241629.69611111112,2596774.701351482,10608133.0,57893.39996385528,183584.0
33,20_44_19,232001.78444444443,2481073.3741654246,10062728.0,40583.031390349846,114311.0
34,20_1_14,133204.24444444446,4104073.063262354,13701008.0,180245.31357024284,364280.0
35,1_44_14,224415.43194444446,3403091.5102331066,13693145.0,95518.52948757121,282877.0
36,20_40_18,229102.965,2628048.3958782633,10573983.0,62901.24873077124,157433.0
37,16_44_18,229301.49666666667,2565216.9838989237,10583146.0,69085.59538156865,198127.0
38,20_43_14,288786.8744444445,3365229.949077005,13501724.0,91121.72536825528,325416.0
39,20_44_15,280297.26666666666,3155247.51687405,12773040.0,67442.11759357573,200997.0
40,20_44_24,197000.24666666667,1928752.313551051,8059101.0,65607.16145352111,134466.0
