Total Solutions Generated,683
Total Iterations,146

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_14_5_3_3_2,595784.4419444444,181040.48457936844,45634553.0,4498.218449979147,1127957.0
1,20_14_6_3_3_2,621355.9466666667,170695.59993213543,46601696.0,2983.429328849801,598683.0
2,20_14_5_4_3_2,588287.5466666667,173390.73791004007,44121566.0,5620.266542957805,879264.0
3,1_14_5_3_3_2,360441.42555555556,188428.03398958937,46342469.0,3863.782491102844,385672.0
4,20_14_5_3_1_2,567424.3,184412.42037818304,45393944.0,7196.9143516499025,779819.0
5,20_14_5_3_3_1,578565.2683333333,184965.8137647996,45279021.0,6024.148890086479,404395.0
6,20_1_5_3_3_2,428490.1094444445,189445.08530963707,45369541.0,6309.867168783996,715437.0
7,20_14_5_2_3_2,586287.3905555556,304476.5117779587,45883361.0,18882.218962289975,502954.0
8,20_14_4_3_3_2,572429.2516666667,236960.30967434216,44798811.0,10420.813268480764,708765.0
9,19_14_5_3_3_2,585481.0872222222,179474.69587506866,45820259.0,4101.565760348312,418156.0
10,20_13_5_3_3_2,571035.1322222223,186769.7510915141,44689706.0,5122.217081892828,936947.0
11,20_14_6_4_3_2,632811.9019444445,161152.04357926067,46492303.0,3026.4486551078153,1135685.0
12,20_14_7_3_3_2,613981.8280555556,169070.45158200312,45108869.0,3247.4557969231682,655069.0
13,20_14_8_3_3_2,634008.9861111111,165083.21715695984,45648647.0,2052.9976400424785,522745.0
14,1_14_6_3_3_2,360858.9061111111,172300.97143070397,44796278.0,2859.2680436410883,817730.0
15,20_14_6_3_1_2,591645.3555555556,173549.71471168438,46302680.0,2416.309737806965,1097299.0
16,20_14_6_3_3_1,594987.5308333334,171264.58245868428,45573513.0,3305.5685881222016,665532.0
17,20_1_6_3_3_2,451272.33472222224,176586.25633614333,46416583.0,3759.983595177968,1092992.0
18,20_14_6_2_3_2,604722.7322222223,304978.8401972065,46319188.0,21733.080110230716,731049.0
19,19_14_7_3_3_2,615272.0133333334,169754.64763604323,46145401.0,2827.4869357749703,965657.0
20,20_14_7_3_2_2,625164.2266666667,167978.31307279825,46887317.0,3616.161689239496,660452.0
21,20_14_7_3_3_1,608008.1466666667,168351.40666686345,45600611.0,2601.5593652102107,879871.0
22,20_13_7_3_3_2,592724.7733333333,169236.27336895672,44454358.0,1213.008514419722,624697.0
23,19_14_6_3_3_2,605300.0750000001,171262.16615797393,46363410.0,2762.533663392387,978259.0
24,20_13_6_3_3_2,588900.0647222223,175293.0915613505,45107239.0,1900.1271146011422,839894.0
25,1_14_5_4_3_2,377366.3908333333,173207.06227706783,46845483.0,4278.009223758534,551415.0
26,1_14_5_3_1_2,330487.1194444445,185375.56636364746,45759755.0,2935.949427018175,594723.0
27,1_14_5_3_3_1,334432.98750000005,186586.047203067,44591065.0,3686.2648336111743,1244618.0
28,1_1_5_3_3_2,190749.8375,192608.5811907789,45779961.0,3489.995661605062,462580.0
29,1_14_5_2_3_2,347384.19,298360.44232789247,46317892.0,25134.798082123743,1090639.0
30,1_14_4_3_3_2,350953.575,235924.28222759263,46793810.0,13744.09125095766,1107339.0
